PS C:\Projects\DE2026_DataOPS_HW\HW23> docker compose logs airflow-webserver
airflow_webserver  | 
airflow_webserver  | [2026-03-11T20:09:04.377+0000] {override.py:1911} INFO - Created Permission View: can edit on SLA Misses
airflow_webserver  | [2026-03-11T20:09:04.381+0000] {override.py:1962} INFO - Added Permission can edit on SLA Misses to role Admin
airflow_webserver  | [2026-03-11T20:09:04.399+0000] {override.py:1911} INFO - Created Permission View: can read on Plugins
airflow_webserver  | [2026-03-11T20:09:04.405+0000] {override.py:1962} INFO - Added Permission can read on Plugins to role Admin
airflow_webserver  | [2026-03-11T20:09:04.410+0000] {override.py:1911} INFO - Created Permission View: menu access on Plugins
airflow_webserver  | [2026-03-11T20:09:04.415+0000] {override.py:1962} INFO - Added Permission menu access on Plugins to role Admin
airflow_webserver  | [2026-03-11T20:09:04.432+0000] {override.py:1911} INFO - Created Permission View: can read on Providers
airflow_webserver  | [2026-03-11T20:09:04.436+0000] {override.py:1962} INFO - Added Permission can read on Providers to role Admin
airflow_webserver  | [2026-03-11T20:09:04.440+0000] {override.py:1911} INFO - Created Permission View: menu access on Providers
airflow_webserver  | [2026-03-11T20:09:04.445+0000] {override.py:1962} INFO - Added Permission menu access on Providers to role Admin
airflow_webserver  | [2026-03-11T20:09:04.472+0000] {override.py:1911} INFO - Created Permission View: can create on Pools
airflow_webserver  | [2026-03-11T20:09:04.478+0000] {override.py:1962} INFO - Added Permission can create on Pools to role Admin
airflow_webserver  | [2026-03-11T20:09:04.484+0000] {override.py:1911} INFO - Created Permission View: can read on Pools
airflow_webserver  | [2026-03-11T20:09:04.489+0000] {override.py:1962} INFO - Added Permission can read on Pools to role Admin
airflow_webserver  | [2026-03-11T20:09:04.494+0000] {override.py:1911} INFO - Created Permission View: can edit on Pools
airflow_webserver  | [2026-03-11T20:09:04.499+0000] {override.py:1962} INFO - Added Permission can edit on Pools to role Admin
airflow_webserver  | [2026-03-11T20:09:04.507+0000] {override.py:1911} INFO - Created Permission View: can delete on Pools
airflow_webserver  | [2026-03-11T20:09:04.511+0000] {override.py:1962} INFO - Added Permission can delete on Pools to role Admin
airflow_webserver  | [2026-03-11T20:09:04.516+0000] {override.py:1911} INFO - Created Permission View: menu access on Pools
airflow_webserver  | [2026-03-11T20:09:04.520+0000] {override.py:1962} INFO - Added Permission menu access on Pools to role Admin
airflow_webserver  | [2026-03-11T20:09:04.552+0000] {override.py:1911} INFO - Created Permission View: can read on XComs
airflow_webserver  | [2026-03-11T20:09:04.558+0000] {override.py:1962} INFO - Added Permission can read on XComs to role Admin
airflow_webserver  | [2026-03-11T20:09:04.563+0000] {override.py:1911} INFO - Created Permission View: can delete on XComs
airflow_webserver  | [2026-03-11T20:09:04.569+0000] {override.py:1962} INFO - Added Permission can delete on XComs to role Admin
airflow_webserver  | [2026-03-11T20:09:04.575+0000] {override.py:1911} INFO - Created Permission View: menu access on XComs
airflow_webserver  | [2026-03-11T20:09:04.580+0000] {override.py:1962} INFO - Added Permission menu access on XComs to role Admin
airflow_webserver  | [2026-03-11T20:09:04.603+0000] {override.py:1911} INFO - Created Permission View: menu access on DAG Dependencies
airflow_webserver  | [2026-03-11T20:09:04.608+0000] {override.py:1962} INFO - Added Permission menu access on DAG Dependencies to role Admin      
airflow_webserver  | [2026-03-11T20:09:04.637+0000] {override.py:1911} INFO - Created Permission View: menu access on DAGs
airflow_webserver  | [2026-03-11T20:09:04.644+0000] {override.py:1962} INFO - Added Permission menu access on DAGs to role Admin
airflow_webserver  | [2026-03-11T20:09:04.654+0000] {override.py:1911} INFO - Created Permission View: menu access on Cluster Activity
airflow_webserver  | [2026-03-11T20:09:04.660+0000] {override.py:1962} INFO - Added Permission menu access on Cluster Activity to role Admin      
airflow_webserver  | [2026-03-11T20:09:04.668+0000] {override.py:1911} INFO - Created Permission View: menu access on Datasets
airflow_webserver  | [2026-03-11T20:09:04.672+0000] {override.py:1962} INFO - Added Permission menu access on Datasets to role Admin
airflow_webserver  | [2026-03-11T20:09:04.681+0000] {override.py:1911} INFO - Created Permission View: menu access on Documentation
airflow_webserver  | [2026-03-11T20:09:04.685+0000] {override.py:1962} INFO - Added Permission menu access on Documentation to role Admin
airflow_webserver  | [2026-03-11T20:09:04.696+0000] {override.py:1911} INFO - Created Permission View: menu access on Docs
airflow_webserver  | [2026-03-11T20:09:04.702+0000] {override.py:1962} INFO - Added Permission menu access on Docs to role Admin
airflow_webserver  | [2026-03-11T20:09:06.002+0000] {override.py:1911} INFO - Created Permission View: can edit on DAGs
airflow_webserver  | [2026-03-11T20:09:06.013+0000] {override.py:1911} INFO - Created Permission View: can delete on DAGs
airflow_webserver  | [2026-03-11T20:09:06.021+0000] {override.py:1911} INFO - Created Permission View: can read on DAGs
airflow_webserver  | [2026-03-11T20:09:06.034+0000] {override.py:1507} INFO - Inserted Role: Public
airflow_webserver  | [2026-03-11T20:09:06.038+0000] {override.py:1507} INFO - Inserted Role: Viewer
airflow_webserver  | [2026-03-11T20:09:06.045+0000] {override.py:1962} INFO - Added Permission can read on DAGs to role Viewer
airflow_webserver  | [2026-03-11T20:09:06.052+0000] {override.py:1911} INFO - Created Permission View: can read on DAG Dependencies
airflow_webserver  | [2026-03-11T20:09:06.056+0000] {override.py:1962} INFO - Added Permission can read on DAG Dependencies to role Viewer        
airflow_webserver  | [2026-03-11T20:09:06.064+0000] {override.py:1911} INFO - Created Permission View: can read on DAG Code
airflow_webserver  | [2026-03-11T20:09:06.068+0000] {override.py:1962} INFO - Added Permission can read on DAG Code to role Viewer
airflow_webserver  | [2026-03-11T20:09:06.071+0000] {override.py:1962} INFO - Added Permission can read on DAG Runs to role Viewer
airflow_webserver  | [2026-03-11T20:09:06.077+0000] {override.py:1911} INFO - Created Permission View: can read on Datasets
airflow_webserver  | [2026-03-11T20:09:06.080+0000] {override.py:1962} INFO - Added Permission can read on Datasets to role Viewer
airflow_webserver  | [2026-03-11T20:09:06.086+0000] {override.py:1911} INFO - Created Permission View: can read on Cluster Activity
airflow_webserver  | [2026-03-11T20:09:06.090+0000] {override.py:1962} INFO - Added Permission can read on Cluster Activity to role Viewer        
airflow_webserver  | [2026-03-11T20:09:06.096+0000] {override.py:1962} INFO - Added Permission can read on Pools to role Viewer
airflow_webserver  | [2026-03-11T20:09:06.104+0000] {override.py:1911} INFO - Created Permission View: can read on ImportError
airflow_webserver  | [2026-03-11T20:09:06.107+0000] {override.py:1962} INFO - Added Permission can read on ImportError to role Viewer
airflow_webserver  | [2026-03-11T20:09:06.115+0000] {override.py:1911} INFO - Created Permission View: can read on DAG Warnings
airflow_webserver  | [2026-03-11T20:09:06.119+0000] {override.py:1962} INFO - Added Permission can read on DAG Warnings to role Viewer
airflow_webserver  | [2026-03-11T20:09:06.122+0000] {override.py:1962} INFO - Added Permission can read on Jobs to role Viewer
airflow_webserver  | [2026-03-11T20:09:06.126+0000] {override.py:1962} INFO - Added Permission can read on My Password to role Viewer
airflow_webserver  | [2026-03-11T20:09:06.130+0000] {override.py:1962} INFO - Added Permission can edit on My Password to role Viewer
airflow_webserver  | [2026-03-11T20:09:06.133+0000] {override.py:1962} INFO - Added Permission can read on My Profile to role Viewer
airflow_webserver  | [2026-03-11T20:09:06.137+0000] {override.py:1962} INFO - Added Permission can edit on My Profile to role Viewer
airflow_webserver  | [2026-03-11T20:09:06.140+0000] {override.py:1962} INFO - Added Permission can read on SLA Misses to role Viewer
airflow_webserver  | [2026-03-11T20:09:06.144+0000] {override.py:1962} INFO - Added Permission can read on Task Instances to role Viewer
airflow_webserver  | [2026-03-11T20:09:06.154+0000] {override.py:1911} INFO - Created Permission View: can read on Task Logs
airflow_webserver  | [2026-03-11T20:09:06.158+0000] {override.py:1962} INFO - Added Permission can read on Task Logs to role Viewer
airflow_webserver  | [2026-03-11T20:09:06.162+0000] {override.py:1962} INFO - Added Permission can read on XComs to role Viewer
airflow_webserver  | [2026-03-11T20:09:06.170+0000] {override.py:1911} INFO - Created Permission View: can read on Website
airflow_webserver  | [2026-03-11T20:09:06.174+0000] {override.py:1962} INFO - Added Permission can read on Website to role Viewer
airflow_webserver  | [2026-03-11T20:09:06.177+0000] {override.py:1962} INFO - Added Permission menu access on Browse to role Viewer
airflow_webserver  | [2026-03-11T20:09:06.181+0000] {override.py:1962} INFO - Added Permission menu access on DAGs to role Viewer
airflow_webserver  | [2026-03-11T20:09:06.184+0000] {override.py:1962} INFO - Added Permission menu access on DAG Dependencies to role Viewer     
airflow_webserver  | [2026-03-11T20:09:06.187+0000] {override.py:1962} INFO - Added Permission menu access on DAG Runs to role Viewer
airflow_webserver  | [2026-03-11T20:09:06.191+0000] {override.py:1962} INFO - Added Permission menu access on Datasets to role Viewer
airflow_webserver  | [2026-03-11T20:09:06.194+0000] {override.py:1962} INFO - Added Permission menu access on Cluster Activity to role Viewer     
airflow_webserver  | [2026-03-11T20:09:06.198+0000] {override.py:1962} INFO - Added Permission menu access on Documentation to role Viewer        
airflow_webserver  | [2026-03-11T20:09:06.202+0000] {override.py:1962} INFO - Added Permission menu access on Docs to role Viewer
airflow_webserver  | [2026-03-11T20:09:06.207+0000] {override.py:1962} INFO - Added Permission menu access on Jobs to role Viewer
airflow_webserver  | [2026-03-11T20:09:06.212+0000] {override.py:1962} INFO - Added Permission menu access on SLA Misses to role Viewer
